,Protein,0mo_NPX,3mo_NPX,6mo_NPX,12mo_NPX,18mo_NPX,24mo_NPX,30mo_NPX,36mo_NPX,48mo_NPX,54mo_NPX,60mo_NPX
0,O00391,,,,,,,,,,,11368.0
1,O00533,,,,,,,,,,,455366.5
2,O00584,,,,,,,,,,,28071.199999999997
3,O14498,,,,,,,,,,,25736.6
4,O14773,,,,,,,,,,,16805.6
5,O14791,,,,,,,,,,,3089.24
6,O15240,,,,,,,,,,,114866.0
7,O15394,,,,,,,,,,,50823.1
8,O43505,,,,,,,,,,,175103.5
9,O60888,,,,,,,,,,,131673.0
10,O75144,,,,,,,,,,,72014.15
11,O75326,,,,,,,,,,,6139.68
12,O94919,,,,,,,,,,,34710.0
13,P00441,,,,,,,,,,,41392.5
14,P00450,,,,,,,,,,,1009075.0
15,P00734,,,,,,,,,,,680568.0
16,P00736,,,,,,,,,,,76027.2
17,P00738,,,,,,,,,,,2599980.0
18,P00746,,,,,,,,,,,107758.5
19,P00747,,,,,,,,,,,337919.5
20,P00748,,,,,,,,,,,74339.15
21,P00751,,,,,,,,,,,499397.0
22,P01008,,,,,,,,,,,2539030.0
23,P01009,,,,,,,,,,,12327150.0
24,P01011,,,,,,,,,,,1428365.0
25,P01019,,,,,,,,,,,1491315.0
26,P01023,,,,,,,,,,,1350035.0
27,P01024,,,,,,,,,,,3634360.0
28,P01031,,,,,,,,,,,10891.8
29,P01033,,,,,,,,,,,77097.85
30,P01034,,,,,,,,,,,19613800.0
31,P01042,,,,,,,,,,,1060980.0
32,P01344,,,,,,,,,,,91918.75
33,P01591,,,,,,,,,,,10307.3
34,P01608,,,,,,,,,,,11835.0
35,P01621,,,,,,,,,,,159470.0
36,P01717,,,,,,,,,,,108850.5
37,P01780,,,,,,,,,,,11334.5
38,P01833,,,,,,,,,,,3836370.0
39,P01834,,,,,,,,,,,2591740.0
40,P01857,,,,,,,,,,,5097145.0
41,P01859,,,,,,,,,,,2048595.0
42,P01860,,,,,,,,,,,465523.0
43,P01861,,,,,,,,,,,63276.55
44,P01876,,,,,,,,,,,2144270.0
45,P01877,,,,,,,,,,,68839.75
46,P02452,,,,,,,,,,,42878.95
47,P02647,,,,,,,,,,,10570400.0
48,P02649,,,,,,,,,,,10755500.0
49,P02652,,,,,,,,,,,553492.0
50,P02655,,,,,,,,,,,23495.8
51,P02656,,,,,,,,,,,96504.29999999999
52,P02671,,,,,,,,,,,615538.0
53,P02675,,,,,,,,,,,577623.0
54,P02679,,,,,,,,,,,187430.5
55,P02747,,,,,,,,,,,128598.0
56,P02748,,,,,,,,,,,115340.5
57,P02749,,,,,,,,,,,1145485.0
58,P02750,,,,,,,,,,,225282.0
59,P02751,,,,,,,,,,,1579680.0
60,P02753,,,,,,,,,,,441008.0
61,P02760,,,,,,,,,,,349067.0
62,P02763,,,,,,,,,,,4596280.0
63,P02765,,,,,,,,,,,2326095.0
64,P02766,,,,,,,,,,,17566400.0
65,P02768,,,,,,,,,,,299694000.0
66,P02774,,,,,,,,,,,2927680.0
67,P02787,,,,,,,,,,,32600800.0
68,P02790,,,,,,,,,,,5062925.0
69,P04004,,,,,,,,,,,1076620.0
70,P04075,,,,,,,,,,,21212.550000000003
71,P04156,,,,,,,,,,,332719.5
72,P04180,,,,,,,,,,,66061.1
73,P04196,,,,,,,,,,,207483.5
74,P04207,,,,,,,,,,,77693.25
75,P04211,,,,,,,,,,,25684.75
76,P04216,,,,,,,,,,,128743.5
77,P04217,,,,,,,,,,,1421585.0
78,P04275,,,,,,,,,,,391737.0
79,P04406,,,,,,,,,,,14168.4
80,P04433,,,,,,,,,,,561341.5
81,P05060,,,,,,,,,,,215837.5
82,P05067,,,,,,,,,,,786548.0
83,P05090,,,,,,,,,,,5182420.0
84,P05155,,,,,,,,,,,875623.5
85,P05156,,,,,,,,,,,84185.35
86,P05408,,,,,,,,,,,5227.99
87,P05452,,,,,,,,,,,308320.0
88,P05546,,,,,,,,,,,85802.4
89,P06310,,,,,,,,,,,13475.65
90,P06396,,,,,,,,,,,2019565.0
91,P06454,,,,,,,,,,,22999.05
92,P06681,,,,,,,,,,,79873.54999999999
93,P06727,,,,,,,,,,,556920.5
94,P07195,,,,,,,,,,,6994.785
95,P07225,,,,,,,,,,,119658.0
96,P07333,,,,,,,,,,,38759.850000000006
97,P07339,,,,,,,,,,,307059.0
98,P07602,,,,,,,,,,,1037635.0
99,P07711,,,,,,,,,,,34822.6
100,P07858,,,,,,,,,,,32667.85
101,P07998,,,,,,,,,,,720235.0
102,P08123,,,,,,,,,,,19199.15
103,P08133,,,,,,,,,,,51252.6
104,P08253,,,,,,,,,,,18798.1
105,P08294,,,,,,,,,,,580787.5
106,P08493,,,,,,,,,,,58190.3
107,P08571,,,,,,,,,,,342153.0
108,P08603,,,,,,,,,,,1141410.0
109,P08637,,,,,,,,,,,28206.45
110,P08697,,,,,,,,,,,254462.0
111,P09104,,,,,,,,,,,6335.54
112,P09486,,,,,,,,,,,132885.0
113,P09871,,,,,,,,,,,262620.5
114,P10451,,,,,,,,,,,304217.0
115,P10643,,,,,,,,,,,100168.85
116,P10645,,,,,,,,,,,380872.0
117,P10909,,,,,,,,,,,7535815.0
118,P11142,,,,,,,,,,,67714.9
119,P11277,,,,,,,,,,,69658.2
120,P12109,,,,,,,,,,,71934.9
121,P13473,,,,,,,,,,,117256.0
122,P13521,,,,,,,,,,,43966.850000000006
123,P13591,,,,,,,,,,,158351.0
124,P13611,,,,,,,,,,,22799.5
125,P13671,,,,,,,,,,,8769.815
126,P13987,,,,,,,,,,,371359.5
127,P14174,,,,,,,,,,,26250.75
128,P14314,,,,,,,,,,,30184.4
129,P14618,,,,,,,,,,,57295.5
130,P16035,,,,,,,,,,,60448.3
131,P16070,,,,,,,,,,,223463.5
132,P16152,,,,,,,,,,,116350.0
133,P16870,,,,,,,,,,,189173.0
134,P17174,,,,,,,,,,,23150.85
135,P17936,,,,,,,,,,,7337.17
136,P18065,,,,,,,,,,,270935.0
137,P19021,,,,,,,,,,,11509.599999999999
138,P19652,,,,,,,,,,,704042.0
139,P19823,,,,,,,,,,,109456.0
140,P19827,,,,,,,,,,,30310.199999999997
141,P20774,,,,,,,,,,,372363.5
142,P20933,,,,,,,,,,,31536.8
143,P23083,,,,,,,,,,,36660.85
144,P23142,,,,,,,,,,,1149330.0
145,P24592,,,,,,,,,,,786032.0
146,P25311,,,,,,,,,,,821726.0
147,P27169,,,,,,,,,,,28916.1
148,P30086,,,,,,,,,,,42832.45
149,P31997,,,,,,,,,,,518285.0
150,P35542,,,,,,,,,,,54224.2
151,P36222,,,,,,,,,,,323232.0
152,P36955,,,,,,,,,,,2122635.0
153,P36980,,,,,,,,,,,5974.775
154,P39060,,,,,,,,,,,48645.45
155,P40925,,,,,,,,,,,28364.2
156,P41222,,,,,,,,,,,41570200.0
157,P43121,,,,,,,,,,,41613.899999999994
158,P43251,,,,,,,,,,,45378.1
159,P43652,,,,,,,,,,,359431.5
160,P49588,,,,,,,,,,,8757.16
161,P49908,,,,,,,,,,,20084.2
162,P51884,,,,,,,,,,,248999.0
163,P54289,,,,,,,,,,,38697.6
164,P55290,,,,,,,,,,,32783.1
165,P61278,,,,,,,,,,,5301.32
166,P61626,,,,,,,,,,,14460.1
167,P61769,,,,,,,,,,,299241.5
168,P61916,,,,,,,,,,,223031.0
169,P80748,,,,,,,,,,,33191.3
170,P98160,,,,,,,,,,,8527.314999999999
171,Q02818,,,,,,,,,,,17971.25
172,Q06481,,,,,,,,,,,22472.6
173,Q08380,,,,,,,,,,,196256.0
174,Q12805,,,,,,,,,,,952499.5
175,Q12841,,,,,,,,,,,23960.05
176,Q12907,,,,,,,,,,,37410.55
177,Q13283,,,,,,,,,,,511607.0
178,Q13332,,,,,,,,,,,18596.6
179,Q13451,,,,,,,,,,,2862100.0
180,Q13740,,,,,,,,,,,21829.2
181,Q14118,,,,,,,,,,,155287.0
182,Q14508,,,,,,,,,,,5087.89
183,Q14515,,,,,,,,,,,378736.0
184,Q14624,,,,,,,,,,,131656.5
185,Q15904,,,,,,,,,,,35129.4
186,Q16270,,,,,,,,,,,831900.5
187,Q16610,,,,,,,,,,,173011.5
188,Q562R1,,,,,,,,,,,16811.9
189,Q6UX71,,,,,,,,,,,12302.9
190,Q6UXB8,,,,,,,,,,,43198.8
191,Q6UXD5,,,,,,,,,,,30112.3
192,Q7Z3B1,,,,,,,,,,,69385.05
193,Q7Z5P9,,,,,,,,,,,475947.5
194,Q8IWV7,,,,,,,,,,,93917.4
195,Q8N2S1,,,,,,,,,,,6745.41
196,Q8NBJ4,,,,,,,,,,,22822.3
197,Q8NE71,,,,,,,,,,,16896.35
198,Q92520,,,,,,,,,,,595395.0
199,Q92823,,,,,,,,,,,141639.0
200,Q92876,,,,,,,,,,,1062620.0
201,Q96BZ4,,,,,,,,,,,8751.08
202,Q96KN2,,,,,,,,,,,599299.0
203,Q96PD5,,,,,,,,,,,97200.4
204,Q96S96,,,,,,,,,,,33317.1
205,Q99435,,,,,,,,,,,2022.92
206,Q99674,,,,,,,,,,,21337.7
207,Q99832,,,,,,,,,,,38603.0
208,Q99969,,,,,,,,,,,12007.2
209,Q9BY67,,,,,,,,,,,25760.7
210,Q9HDC9,,,,,,,,,,,275628.0
211,Q9NQ79,,,,,,,,,,,35553.45
212,Q9NYU2,,,,,,,,,,,116151.0
213,Q9UBR2,,,,,,,,,,,13942.9
214,Q9UBX5,,,,,,,,,,,35341.55
215,Q9UHG2,,,,,,,,,,,204471.5
216,Q9UNU6,,,,,,,,,,,17722.5
217,Q9Y646,,,,,,,,,,,19946.55
218,Q9Y6R7,,,,,,,,,,,18154.4
219,P01594,,,,,,,,,,,13106.7
220,P02792,,,,,,,,,,,16732.0
221,P32754,,,,,,,,,,,65328.0
222,P60174,,,,,,,,,,,13998.7
223,Q13449,,,,,,,,,,,23985.4
224,Q99683,,,,,,,,,,,100258.0
225,Q99829,,,,,,,,,,,14211.6
226,Q9UKV8,,,,,,,,,,,65115.95
